review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,45,135,1,Excelente producto,No cumplió mis expectativas.,true,33,2023-05-25
2,74,146,2,Excelente producto,El producto es correcto pero la entrega tardó.,true,26,2023-07-12
3,70,60,4,Podría mejorar,Bueno pero esperaba un poco más.,true,36,2025-05-10
4,13,65,3,Buena calidad,Bueno pero esperaba un poco más.,false,19,2023-02-27
5,10,162,2,Excelente producto,Bueno pero esperaba un poco más.,true,36,2025-04-13
6,80,22,1,No tan bueno,Llegó a tiempo y en perfecto estado.,true,44,2024-01-06
7,79,99,5,Excelente producto,No cumplió mis expectativas.,true,3,2023-10-15
8,47,120,1,Muy bueno,El producto es correcto pero la entrega tardó.,true,49,2024-04-15
9,78,80,4,Satisfecho,No cumplió mis expectativas.,true,34,2023-10-28
10,20,42,5,Recomendado,Llegó a tiempo y en perfecto estado.,false,25,2025-04-28
11,71,35,5,Satisfecho,El producto es correcto pero la entrega tardó.,true,20,2024-10-03
12,22,38,1,Recomendado,Muy buena calidad por el precio.,true,8,2025-06-07
13,26,70,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,16,2023-05-07
14,42,38,4,Podría mejorar,No cumplió mis expectativas.,true,1,2025-11-20
15,36,69,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2023-08-05
16,70,163,3,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,16,2025-03-10
17,64,103,3,Excelente producto,Excelente relación calidad-precio.,true,18,2023-02-22
18,48,33,1,Muy bueno,Llegó a tiempo y en perfecto estado.,false,3,2023-12-05
19,58,115,3,No tan bueno,El producto es correcto pero la entrega tardó.,true,14,2024-12-04
20,80,1,2,Buena calidad,No cumplió mis expectativas.,true,34,2023-02-01
21,94,82,4,Cumple expectativas,Muy buena calidad por el precio.,true,22,2025-02-16
22,11,56,4,Buena calidad,Excelente relación calidad-precio.,true,30,2024-04-06
23,55,7,1,Excelente producto,Excelente relación calidad-precio.,true,36,2024-03-09
24,30,135,1,Muy bueno,El producto es correcto pero la entrega tardó.,true,50,2023-05-17
25,67,29,2,Buena calidad,Excelente relación calidad-precio.,true,36,2024-10-07
26,22,86,5,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,21,2023-11-22
27,60,42,5,Buena calidad,Muy buena calidad por el precio.,true,39,2023-04-13
28,46,99,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,32,2023-12-11
29,23,119,5,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,42,2023-09-16
30,80,64,3,Excelente producto,Muy buena calidad por el precio.,true,8,2023-07-06
31,19,72,3,No tan bueno,Bueno pero esperaba un poco más.,true,9,2024-04-21
32,30,28,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,31,2024-11-18
33,29,58,5,Satisfecho,No cumplió mis expectativas.,true,19,2024-12-18
34,37,155,1,Buena calidad,Excelente relación calidad-precio.,true,39,2024-02-25
35,9,51,5,Buena calidad,Excelente relación calidad-precio.,true,9,2024-12-04
36,56,137,1,Muy bueno,Llegó a tiempo y en perfecto estado.,true,13,2025-09-08
37,26,103,1,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,40,2024-07-27
38,27,12,2,Satisfecho,Llegó a tiempo y en perfecto estado.,true,27,2023-01-09
39,30,48,3,Buena calidad,El producto es correcto pero la entrega tardó.,false,11,2025-03-19
40,35,52,2,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,22,2025-04-23
41,56,22,1,Excelente producto,Bueno pero esperaba un poco más.,false,42,2023-11-06
42,65,135,1,No tan bueno,Cumple con lo prometido.,true,46,2025-05-28
43,71,42,5,Muy bueno,Cumple con lo prometido.,true,9,2024-07-28
44,15,57,1,Excelente producto,Excelente relación calidad-precio.,true,16,2025-10-16
45,91,104,2,Cumple expectativas,Bueno pero esperaba un poco más.,true,34,2023-10-07
46,44,154,2,Buena calidad,Excelente relación calidad-precio.,true,44,2025-08-10
47,82,113,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2024-01-24
48,50,145,4,Podría mejorar,Bueno pero esperaba un poco más.,true,40,2023-08-19
49,15,58,1,Buena calidad,No cumplió mis expectativas.,false,23,2023-07-11
50,55,126,1,No tan bueno,Llegó a tiempo y en perfecto estado.,true,49,2025-01-07
51,56,63,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,35,2024-03-03
52,13,102,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,42,2023-08-30
53,89,161,1,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,9,2024-02-01
54,75,38,1,Muy bueno,Excelente relación calidad-precio.,true,26,2025-03-12
55,64,67,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,42,2025-11-21
56,89,151,1,Buena calidad,Muy buena calidad por el precio.,true,2,2023-04-15
57,37,48,4,Muy bueno,Excelente relación calidad-precio.,false,26,2024-01-13
58,94,79,4,Podría mejorar,Bueno pero esperaba un poco más.,true,20,2025-10-18
59,42,14,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,1,2025-05-24
60,40,95,3,Buena calidad,Excelente relación calidad-precio.,true,42,2023-02-22
61,9,37,3,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,8,2025-04-22
62,9,98,2,Cumple expectativas,Excelente relación calidad-precio.,true,27,2024-04-06
63,78,69,2,Cumple expectativas,Excelente relación calidad-precio.,false,39,2025-08-15
64,50,113,5,Recomendado,No cumplió mis expectativas.,true,15,2023-09-21
65,99,167,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,44,2024-03-16
66,17,35,1,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2024-11-28
67,29,15,2,Buena calidad,Excelente relación calidad-precio.,true,44,2023-07-18
68,82,47,1,Cumple expectativas,Cumple con lo prometido.,true,13,2023-03-25
69,77,66,3,Muy bueno,Muy buena calidad por el precio.,true,7,2025-09-04
70,56,124,2,Muy bueno,No cumplió mis expectativas.,true,2,2023-04-23
71,19,125,1,Recomendado,Bueno pero esperaba un poco más.,true,41,2025-07-08
72,13,143,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,35,2025-08-17
73,73,86,1,Recomendado,Muy buena calidad por el precio.,false,17,2024-06-29
74,90,76,1,Podría mejorar,Excelente relación calidad-precio.,false,10,2024-02-12
75,58,36,1,No tan bueno,Muy buena calidad por el precio.,true,21,2025-12-03
76,47,78,2,No tan bueno,No cumplió mis expectativas.,true,48,2023-04-22
77,94,65,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,false,42,2025-06-16
78,57,70,5,Cumple expectativas,Bueno pero esperaba un poco más.,false,36,2025-01-31
79,98,62,2,Muy bueno,Muy buena calidad por el precio.,true,31,2024-04-15
80,46,77,2,Buena calidad,No cumplió mis expectativas.,true,15,2023-03-31
81,15,93,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,43,2025-08-15
82,15,150,3,Recomendado,Bueno pero esperaba un poco más.,true,42,2023-04-21
83,18,160,5,Recomendado,Bueno pero esperaba un poco más.,false,8,2023-11-12
84,31,57,3,Buena calidad,Llegó a tiempo y en perfecto estado.,true,4,2025-07-26
85,21,8,5,Muy bueno,No cumplió mis expectativas.,true,50,2023-05-04
86,94,36,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,41,2024-01-28
87,51,115,3,Satisfecho,El producto es correcto pero la entrega tardó.,true,6,2023-06-13
88,59,125,5,No tan bueno,Muy buena calidad por el precio.,false,18,2024-01-07
89,23,11,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,29,2025-07-28
90,22,53,3,Buena calidad,Muy buena calidad por el precio.,false,46,2025-11-09
91,6,21,1,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,34,2023-12-03
92,60,80,1,No tan bueno,Muy buena calidad por el precio.,true,20,2024-08-13
93,30,132,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,39,2025-05-07
94,12,4,2,Satisfecho,Bueno pero esperaba un poco más.,true,26,2023-09-30
95,88,21,4,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,6,2023-07-24
96,12,17,1,Podría mejorar,El producto es correcto pero la entrega tardó.,false,26,2025-05-13
97,84,49,4,Excelente producto,Muy buena calidad por el precio.,true,46,2024-02-20
98,9,58,4,Recomendado,Muy buena calidad por el precio.,true,20,2023-08-10
99,82,97,2,Muy bueno,Bueno pero esperaba un poco más.,false,49,2024-01-13
100,1,114,3,Cumple expectativas,Bueno pero esperaba un poco más.,true,40,2024-12-12
101,89,57,5,Recomendado,Cumple con lo prometido.,true,29,2025-11-23
102,79,137,5,Excelente producto,Llegó a tiempo y en perfecto estado.,true,21,2023-05-23
103,22,76,1,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,41,2025-06-04
104,70,85,4,Muy bueno,Bueno pero esperaba un poco más.,false,50,2024-04-02
105,28,112,1,Muy bueno,Llegó a tiempo y en perfecto estado.,false,5,2025-08-06
106,77,30,5,Podría mejorar,Cumple con lo prometido.,false,0,2024-06-16
107,82,50,3,Cumple expectativas,Excelente relación calidad-precio.,true,28,2025-09-13
108,86,149,2,Buena calidad,Llegó a tiempo y en perfecto estado.,false,23,2023-07-16
109,74,50,5,Recomendado,Muy buena calidad por el precio.,true,5,2024-11-21
110,88,36,1,Muy bueno,Bueno pero esperaba un poco más.,true,50,2025-11-25
111,57,64,1,Buena calidad,No cumplió mis expectativas.,true,5,2023-07-05
112,45,127,5,Recomendado,Muy buena calidad por el precio.,false,24,2024-12-08
113,33,125,1,Cumple expectativas,Excelente relación calidad-precio.,true,43,2024-08-28
114,89,61,2,Podría mejorar,Muy buena calidad por el precio.,false,13,2025-04-10
115,55,84,4,No tan bueno,El producto es correcto pero la entrega tardó.,true,37,2025-06-22
116,86,21,4,Excelente producto,El producto es correcto pero la entrega tardó.,true,0,2025-01-15
117,36,53,3,Satisfecho,Bueno pero esperaba un poco más.,false,37,2025-09-03
118,9,115,2,Podría mejorar,Cumple con lo prometido.,true,19,2025-04-26
119,43,141,4,Excelente producto,Llegó a tiempo y en perfecto estado.,true,5,2024-07-13
120,97,37,2,Excelente producto,El producto es correcto pero la entrega tardó.,true,49,2024-12-25
121,45,159,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2025-11-29
122,82,125,4,Buena calidad,No cumplió mis expectativas.,true,24,2024-04-18
123,95,86,5,Recomendado,Excelente relación calidad-precio.,false,48,2025-01-27
124,94,133,1,Cumple expectativas,No cumplió mis expectativas.,true,48,2023-10-21
125,79,41,5,No tan bueno,Bueno pero esperaba un poco más.,true,24,2024-08-18
126,12,55,1,Satisfecho,Excelente relación calidad-precio.,true,30,2023-05-03
127,25,89,3,Podría mejorar,Bueno pero esperaba un poco más.,true,24,2025-02-24
128,23,53,4,Recomendado,Cumple con lo prometido.,true,50,2024-05-19
129,75,68,4,Cumple expectativas,Cumple con lo prometido.,true,28,2024-09-09
130,34,38,5,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",false,22,2025-02-15
131,74,67,3,Podría mejorar,No cumplió mis expectativas.,true,25,2025-05-25
132,4,18,1,Buena calidad,No cumplió mis expectativas.,false,23,2023-11-04
133,35,80,5,No tan bueno,Muy buena calidad por el precio.,false,24,2024-03-15
134,5,9,5,Recomendado,El producto es correcto pero la entrega tardó.,true,17,2023-08-09
135,60,11,2,Muy bueno,Muy buena calidad por el precio.,false,9,2025-03-22
136,94,23,4,Satisfecho,Excelente relación calidad-precio.,false,34,2025-08-07
137,92,115,2,Cumple expectativas,Cumple con lo prometido.,true,21,2025-03-13
138,68,150,3,Muy bueno,El producto es correcto pero la entrega tardó.,true,34,2025-02-17
139,76,39,3,Satisfecho,Bueno pero esperaba un poco más.,true,31,2024-03-03
140,9,7,2,Recomendado,El producto es correcto pero la entrega tardó.,true,33,2023-04-21
141,95,96,2,Podría mejorar,Bueno pero esperaba un poco más.,true,4,2023-01-17
142,2,89,1,Muy bueno,No cumplió mis expectativas.,true,21,2025-01-04
143,42,25,1,Recomendado,Excelente relación calidad-precio.,true,2,2024-10-17
144,90,1,5,Satisfecho,Bueno pero esperaba un poco más.,true,28,2023-02-01
145,16,131,1,Recomendado,Bueno pero esperaba un poco más.,true,9,2024-04-19
146,43,142,3,Excelente producto,El producto es correcto pero la entrega tardó.,false,3,2025-05-25
147,42,57,2,Cumple expectativas,Cumple con lo prometido.,true,35,2025-07-20
148,49,89,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,48,2023-11-20
149,95,72,2,Satisfecho,Muy buena calidad por el precio.,true,48,2024-11-03
150,38,136,1,Buena calidad,Bueno pero esperaba un poco más.,true,7,2024-04-28
151,72,20,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,47,2024-01-29
152,19,71,1,Excelente producto,Cumple con lo prometido.,true,49,2023-03-09
153,58,15,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,26,2025-11-28
154,68,5,1,Satisfecho,Excelente relación calidad-precio.,true,11,2025-02-24
155,77,46,5,Muy bueno,No cumplió mis expectativas.,true,1,2024-03-13
156,65,58,3,Cumple expectativas,Cumple con lo prometido.,false,36,2023-12-21
157,17,17,1,Cumple expectativas,No cumplió mis expectativas.,true,8,2023-05-22
158,71,76,2,Podría mejorar,Muy buena calidad por el precio.,true,44,2025-02-18
159,26,9,1,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,14,2023-09-02
160,92,114,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,22,2023-07-12
161,7,60,2,Recomendado,Cumple con lo prometido.,false,1,2023-06-21
162,34,124,5,Excelente producto,Excelente relación calidad-precio.,true,2,2023-03-23
163,30,29,4,Cumple expectativas,No cumplió mis expectativas.,false,46,2023-03-30
164,93,136,4,Recomendado,Bueno pero esperaba un poco más.,true,50,2025-07-26
165,66,26,1,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,27,2023-09-06
166,86,28,5,Recomendado,El producto es correcto pero la entrega tardó.,true,22,2024-04-26
167,59,34,5,Podría mejorar,El producto es correcto pero la entrega tardó.,true,27,2024-06-18
168,66,138,4,Podría mejorar,Cumple con lo prometido.,true,39,2025-03-06
169,95,99,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,50,2023-10-30
170,100,130,1,Muy bueno,Bueno pero esperaba un poco más.,true,35,2024-03-17
171,88,55,1,Buena calidad,Excelente relación calidad-precio.,true,1,2025-02-15
172,12,132,2,Recomendado,Llegó a tiempo y en perfecto estado.,true,42,2024-03-10
173,61,21,2,Satisfecho,Bueno pero esperaba un poco más.,false,25,2024-06-26
174,80,132,1,No tan bueno,Muy buena calidad por el precio.,false,45,2025-04-04
175,99,84,1,No tan bueno,Bueno pero esperaba un poco más.,true,33,2025-12-04
176,9,15,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2024-04-12
177,77,148,5,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,6,2024-08-27
178,16,161,5,Recomendado,No cumplió mis expectativas.,true,32,2024-08-16
179,94,32,3,Recomendado,Cumple con lo prometido.,true,13,2024-01-07
180,94,125,2,No tan bueno,Muy buena calidad por el precio.,true,47,2024-08-12
181,18,66,2,No tan bueno,No cumplió mis expectativas.,true,42,2025-08-16
182,12,123,1,Excelente producto,Muy buena calidad por el precio.,true,28,2023-08-06
183,37,2,5,Buena calidad,El producto es correcto pero la entrega tardó.,true,8,2025-06-06
184,38,112,5,Muy bueno,No cumplió mis expectativas.,true,41,2025-03-11
185,32,10,2,Recomendado,Excelente relación calidad-precio.,true,47,2025-08-09
186,100,68,1,Muy bueno,Excelente relación calidad-precio.,true,18,2024-08-01
187,91,150,2,Recomendado,Llegó a tiempo y en perfecto estado.,true,3,2025-07-15
188,7,137,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",false,44,2024-04-15
189,26,149,4,Podría mejorar,El producto es correcto pero la entrega tardó.,false,10,2023-08-09
190,83,35,5,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,25,2024-08-06
191,18,113,1,Recomendado,El producto es correcto pero la entrega tardó.,false,40,2023-08-27
192,33,158,4,No tan bueno,No cumplió mis expectativas.,true,35,2023-11-05
193,44,97,2,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,25,2025-02-07
194,19,43,5,Cumple expectativas,Bueno pero esperaba un poco más.,true,42,2023-10-27
195,84,77,2,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,45,2025-09-11
196,5,91,4,Podría mejorar,Excelente relación calidad-precio.,false,17,2023-08-26
197,59,45,3,Satisfecho,Bueno pero esperaba un poco más.,true,45,2023-03-03
198,69,2,2,Excelente producto,No cumplió mis expectativas.,true,21,2023-08-09
199,4,7,3,Recomendado,No cumplió mis expectativas.,true,11,2023-12-28
200,18,121,4,Recomendado,Llegó a tiempo y en perfecto estado.,true,12,2023-03-14